10:39:33 [INFO] Loading grid spec from data/param-grid-spec.json
10:39:33 [INFO] Grid spec loaded:
10:39:33 [INFO]   Candidates: 9
10:39:33 [INFO]   Cost mode entries: 18
10:39:33 [INFO]   Parameter combinations: 15625
10:39:33 [INFO]   Leverage levels: 1
10:39:33 [INFO]   Total runs: 281250
10:39:33 [INFO]   Parallelism: 8
10:39:35 [INFO] Grid: 281250 combinations
10:39:35 [INFO] Parallelism: 8 processes
10:39:35 [INFO] Output: data/param-search-results
10:39:35 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.0: 128 trades, 0.1s
10:39:35 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.3: 128 trades, 0.1s
10:39:35 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.7: 115 trades, 0.1s
10:39:35 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.6: 115 trades, 0.1s
10:39:35 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.4: 128 trades, 0.1s
10:39:35 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.5: 115 trades, 0.1s
10:39:35 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.1: 128 trades, 0.1s
10:39:35 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.2: 128 trades, 0.1s
10:39:35 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.8: 115 trades, 0.1s
10:39:35 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.9: 115 trades, 0.1s
10:39:35 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.10: 113 trades, 0.1s
10:39:40 [INFO] Progress: 1/281250 done (1 ok, 0 failed)
10:39:40 [INFO] Progress: 2/281250 done (2 ok, 0 failed)
10:39:40 [INFO] Progress: 3/281250 done (3 ok, 0 failed)
10:39:40 [INFO] Progress: 4/281250 done (4 ok, 0 failed)
10:39:40 [INFO] Progress: 5/281250 done (5 ok, 0 failed)
10:39:40 [INFO] Progress: 6/281250 done (6 ok, 0 failed)
10:39:40 [INFO] Progress: 7/281250 done (7 ok, 0 failed)
10:39:40 [INFO] Progress: 8/281250 done (8 ok, 0 failed)
10:39:40 [INFO] Progress: 9/281250 done (9 ok, 0 failed)
10:39:40 [INFO] Progress: 10/281250 done (10 ok, 0 failed)
10:39:40 [INFO] Progress: 11/281250 done (11 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.12: 113 trades, 0.1s
10:39:40 [INFO] Progress: 12/281250 done (12 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.11: 114 trades, 0.1s
10:39:40 [INFO] Progress: 13/281250 done (13 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.16: 113 trades, 0.1s
10:39:40 [INFO] Progress: 14/281250 done (14 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.14: 113 trades, 0.1s
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.17: 112 trades, 0.1s
10:39:40 [INFO] Progress: 15/281250 done (15 ok, 0 failed)
10:39:40 [INFO] Progress: 16/281250 done (16 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.13: 113 trades, 0.1s
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.15: 111 trades, 0.1s
10:39:40 [INFO] Progress: 17/281250 done (17 ok, 0 failed)
10:39:40 [INFO] Progress: 18/281250 done (18 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.18: 111 trades, 0.1s
10:39:40 [INFO] Progress: 19/281250 done (19 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.19: 111 trades, 0.1s
10:39:40 [INFO] Progress: 20/281250 done (20 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.20: 111 trades, 0.1s
10:39:40 [INFO] Progress: 21/281250 done (21 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.22: 112 trades, 0.1s
10:39:40 [INFO] Progress: 22/281250 done (22 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.23: 111 trades, 0.1s
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.21: 113 trades, 0.1s
10:39:40 [INFO] Progress: 23/281250 done (23 ok, 0 failed)
10:39:40 [INFO] Progress: 24/281250 done (24 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.24: 111 trades, 0.1s
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.25: 125 trades, 0.1s
10:39:40 [INFO] Progress: 25/281250 done (25 ok, 0 failed)
10:39:40 [INFO] Progress: 26/281250 done (26 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.26: 125 trades, 0.1s
10:39:40 [INFO] Progress: 27/281250 done (27 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.27: 125 trades, 0.1s
10:39:40 [INFO] Progress: 28/281250 done (28 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.28: 125 trades, 0.1s
10:39:40 [INFO] Progress: 29/281250 done (29 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.29: 125 trades, 0.1s
10:39:40 [INFO] Progress: 30/281250 done (30 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.31: 111 trades, 0.1s
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.30: 111 trades, 0.1s
10:39:40 [INFO] Progress: 31/281250 done (31 ok, 0 failed)
10:39:40 [INFO] Progress: 32/281250 done (32 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.33: 111 trades, 0.1s
10:39:40 [INFO] Progress: 33/281250 done (33 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.32: 111 trades, 0.1s
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.34: 111 trades, 0.1s
10:39:40 [INFO] Progress: 34/281250 done (34 ok, 0 failed)
10:39:40 [INFO] Progress: 35/281250 done (35 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.35: 108 trades, 0.1s
10:39:40 [INFO] Progress: 36/281250 done (36 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.36: 108 trades, 0.1s
10:39:40 [INFO] Progress: 37/281250 done (37 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.37: 108 trades, 0.1s
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.38: 108 trades, 0.1s
10:39:40 [INFO] Progress: 38/281250 done (38 ok, 0 failed)
10:39:40 [INFO] Progress: 39/281250 done (39 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.39: 108 trades, 0.1s
10:39:40 [INFO] Progress: 40/281250 done (40 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.40: 108 trades, 0.1s
10:39:40 [INFO] Progress: 41/281250 done (41 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.42: 108 trades, 0.1s
10:39:40 [INFO] Progress: 42/281250 done (42 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.41: 108 trades, 0.1s
10:39:40 [INFO] Progress: 43/281250 done (43 ok, 0 failed)
