15:49:37 [INFO] Loading grid spec from data/param-grid-spec-cluster-003.json
15:49:37 [INFO] Grid spec loaded:
15:49:37 [INFO]   Candidates: 1
15:49:37 [INFO]   Cost mode entries: 2
15:49:37 [INFO]   Parameter combinations: 15625
15:49:37 [INFO]   Leverage levels: 1
15:49:37 [INFO]   Total runs: 31250
15:49:37 [INFO]   Parallelism: 8
15:49:37 [INFO] Grid: 31250 combinations
15:49:37 [INFO] Parallelism: 8 processes
15:49:37 [INFO] Output: data/param-search-v2
15:49:37 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.7: 43 trades, 0.1s
15:49:37 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.4: 49 trades, 0.1s
15:49:37 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.3: 49 trades, 0.1s
15:49:37 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.1: 49 trades, 0.1s
15:49:37 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.5: 43 trades, 0.1s
15:49:37 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.0: 49 trades, 0.1s
15:49:37 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.6: 43 trades, 0.1s
15:49:37 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.2: 49 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.8: 43 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.12: 42 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.11: 42 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.13: 42 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.9: 43 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.10: 42 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.16: 42 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.15: 41 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.14: 42 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.19: 41 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.18: 41 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.17: 42 trades, 0.1s
15:49:38 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.21: 42 trades, 0.1s
