16:06:08 [INFO] Loading grid spec from data/param-grid-spec-cluster-009.json
16:06:08 [INFO] Grid spec loaded:
16:06:08 [INFO]   Candidates: 2
16:06:08 [INFO]   Cost mode entries: 4
16:06:08 [INFO]   Parameter combinations: 15625
16:06:08 [INFO]   Leverage levels: 1
16:06:08 [INFO]   Total runs: 62500
16:06:08 [INFO]   Parallelism: 8
16:06:08 [INFO] Grid: 62500 combinations
16:06:08 [INFO] Parallelism: 8 processes
16:06:08 [INFO] Output: data/param-search-v2
16:06:09 [INFO] Progress: 100/62500 done (0 new ok, 100 resumed, 0 failed)
16:06:09 [INFO] Progress: 200/62500 done (0 new ok, 200 resumed, 0 failed)
16:06:09 [INFO] Progress: 300/62500 done (0 new ok, 300 resumed, 0 failed)
16:06:09 [INFO] Progress: 400/62500 done (0 new ok, 400 resumed, 0 failed)
16:06:09 [INFO] Progress: 500/62500 done (0 new ok, 500 resumed, 0 failed)
16:06:09 [INFO] Progress: 600/62500 done (0 new ok, 600 resumed, 0 failed)
16:06:09 [INFO] Progress: 700/62500 done (0 new ok, 700 resumed, 0 failed)
16:06:09 [INFO] Progress: 800/62500 done (0 new ok, 800 resumed, 0 failed)
16:06:10 [INFO] Progress: 900/62500 done (0 new ok, 900 resumed, 0 failed)
16:06:10 [INFO] Progress: 1000/62500 done (0 new ok, 1000 resumed, 0 failed)
16:06:10 [INFO] Progress: 1100/62500 done (0 new ok, 1100 resumed, 0 failed)
16:06:10 [INFO] Progress: 1200/62500 done (0 new ok, 1200 resumed, 0 failed)
16:06:10 [INFO] Progress: 1300/62500 done (0 new ok, 1300 resumed, 0 failed)
16:06:10 [INFO] Progress: 1400/62500 done (0 new ok, 1400 resumed, 0 failed)
16:06:10 [INFO] Progress: 1500/62500 done (0 new ok, 1500 resumed, 0 failed)
16:06:10 [INFO] Progress: 1600/62500 done (0 new ok, 1600 resumed, 0 failed)
16:06:10 [INFO] Progress: 1700/62500 done (0 new ok, 1700 resumed, 0 failed)
16:06:10 [INFO] Progress: 1800/62500 done (0 new ok, 1800 resumed, 0 failed)
16:06:10 [INFO] Progress: 1900/62500 done (0 new ok, 1900 resumed, 0 failed)
16:06:10 [INFO] Progress: 2000/62500 done (0 new ok, 2000 resumed, 0 failed)
16:06:10 [INFO] Progress: 2100/62500 done (0 new ok, 2100 resumed, 0 failed)
16:06:10 [INFO] Progress: 2200/62500 done (0 new ok, 2200 resumed, 0 failed)
16:06:10 [INFO] Progress: 2300/62500 done (0 new ok, 2300 resumed, 0 failed)
16:06:10 [INFO] Progress: 2400/62500 done (0 new ok, 2400 resumed, 0 failed)
16:06:11 [INFO] Progress: 2500/62500 done (0 new ok, 2500 resumed, 0 failed)
16:06:11 [INFO] Progress: 2600/62500 done (0 new ok, 2600 resumed, 0 failed)
16:06:11 [INFO] Progress: 2700/62500 done (0 new ok, 2700 resumed, 0 failed)
16:06:11 [INFO] Progress: 2800/62500 done (0 new ok, 2800 resumed, 0 failed)
16:06:11 [INFO] Progress: 2900/62500 done (0 new ok, 2900 resumed, 0 failed)
16:06:11 [INFO] Progress: 3000/62500 done (0 new ok, 3000 resumed, 0 failed)
16:06:11 [INFO] Progress: 3100/62500 done (0 new ok, 3100 resumed, 0 failed)
16:06:11 [INFO] Progress: 3200/62500 done (0 new ok, 3200 resumed, 0 failed)
16:06:11 [INFO] Progress: 3300/62500 done (0 new ok, 3300 resumed, 0 failed)
16:06:11 [INFO] Progress: 3400/62500 done (0 new ok, 3400 resumed, 0 failed)
16:06:11 [INFO] Progress: 3500/62500 done (0 new ok, 3500 resumed, 0 failed)
16:06:11 [INFO] Progress: 3600/62500 done (0 new ok, 3600 resumed, 0 failed)
16:06:12 [INFO] Progress: 3700/62500 done (0 new ok, 3700 resumed, 0 failed)
16:06:12 [INFO] Progress: 3800/62500 done (0 new ok, 3800 resumed, 0 failed)
16:06:12 [INFO] Progress: 3900/62500 done (0 new ok, 3900 resumed, 0 failed)
16:06:12 [INFO] Progress: 4000/62500 done (0 new ok, 4000 resumed, 0 failed)
16:06:12 [INFO] Progress: 4100/62500 done (0 new ok, 4100 resumed, 0 failed)
16:06:12 [INFO] Progress: 4200/62500 done (0 new ok, 4200 resumed, 0 failed)
16:06:12 [INFO] Progress: 4300/62500 done (0 new ok, 4300 resumed, 0 failed)
16:06:12 [INFO] Progress: 4400/62500 done (0 new ok, 4400 resumed, 0 failed)
16:06:12 [INFO] Progress: 4500/62500 done (0 new ok, 4500 resumed, 0 failed)
16:06:13 [INFO] Progress: 4600/62500 done (0 new ok, 4600 resumed, 0 failed)
16:06:13 [INFO] Progress: 4700/62500 done (0 new ok, 4700 resumed, 0 failed)
16:06:13 [INFO] Progress: 4800/62500 done (0 new ok, 4800 resumed, 0 failed)
16:06:13 [INFO] Progress: 4900/62500 done (0 new ok, 4900 resumed, 0 failed)
16:06:13 [INFO] Progress: 5000/62500 done (0 new ok, 5000 resumed, 0 failed)
16:06:13 [INFO] Progress: 5100/62500 done (0 new ok, 5100 resumed, 0 failed)
16:06:13 [INFO] Progress: 5200/62500 done (0 new ok, 5200 resumed, 0 failed)
16:06:13 [INFO] Progress: 5300/62500 done (0 new ok, 5300 resumed, 0 failed)
16:06:14 [INFO] Progress: 5400/62500 done (0 new ok, 5400 resumed, 0 failed)
16:06:14 [INFO] Progress: 5500/62500 done (0 new ok, 5500 resumed, 0 failed)
16:06:14 [INFO] Progress: 5600/62500 done (0 new ok, 5600 resumed, 0 failed)
16:06:14 [INFO] Progress: 5700/62500 done (0 new ok, 5700 resumed, 0 failed)
16:06:14 [INFO] Progress: 5800/62500 done (0 new ok, 5800 resumed, 0 failed)
16:06:14 [INFO] Progress: 5900/62500 done (0 new ok, 5900 resumed, 0 failed)
16:06:14 [INFO] Progress: 6000/62500 done (0 new ok, 6000 resumed, 0 failed)
16:06:14 [INFO] Progress: 6100/62500 done (0 new ok, 6100 resumed, 0 failed)
16:06:15 [INFO] Progress: 6200/62500 done (0 new ok, 6200 resumed, 0 failed)
16:06:15 [INFO] Progress: 6300/62500 done (0 new ok, 6300 resumed, 0 failed)
16:06:15 [INFO] Progress: 6400/62500 done (0 new ok, 6400 resumed, 0 failed)
16:06:15 [INFO] Progress: 6500/62500 done (0 new ok, 6500 resumed, 0 failed)
16:06:15 [INFO] Progress: 6600/62500 done (0 new ok, 6600 resumed, 0 failed)
16:06:15 [INFO] Progress: 6700/62500 done (0 new ok, 6700 resumed, 0 failed)
16:06:16 [INFO] Progress: 6800/62500 done (0 new ok, 6800 resumed, 0 failed)
16:06:16 [INFO] Progress: 6900/62500 done (0 new ok, 6900 resumed, 0 failed)
16:06:16 [INFO] Progress: 7000/62500 done (0 new ok, 7000 resumed, 0 failed)
16:06:16 [INFO] Progress: 7100/62500 done (0 new ok, 7100 resumed, 0 failed)
16:06:16 [INFO] Progress: 7200/62500 done (0 new ok, 7200 resumed, 0 failed)
16:06:16 [INFO] Progress: 7300/62500 done (0 new ok, 7300 resumed, 0 failed)
16:06:17 [INFO] Progress: 7400/62500 done (0 new ok, 7400 resumed, 0 failed)
16:06:17 [INFO] Progress: 7500/62500 done (0 new ok, 7500 resumed, 0 failed)
16:06:17 [INFO] Progress: 7600/62500 done (0 new ok, 7600 resumed, 0 failed)
16:06:17 [INFO] Progress: 7700/62500 done (0 new ok, 7700 resumed, 0 failed)
