14:18:34 [INFO] Loading grid spec from data/param-grid-spec.json
14:18:34 [INFO] Grid spec loaded:
14:18:34 [INFO]   Candidates: 9
14:18:34 [INFO]   Cost mode entries: 18
14:18:34 [INFO]   Parameter combinations: 15625
14:18:34 [INFO]   Leverage levels: 1
14:18:34 [INFO]   Total runs: 281250
14:18:34 [INFO]   Parallelism: 8
14:18:35 [INFO] Grid: 281250 combinations
14:18:35 [INFO] Parallelism: 8 processes
14:18:35 [INFO] Output: data/param-search-v2
14:18:41 [INFO] Progress: 100/281250 done (0 new ok, 100 resumed, 0 failed)
14:18:41 [INFO] Progress: 200/281250 done (0 new ok, 200 resumed, 0 failed)
14:18:41 [INFO] Progress: 300/281250 done (0 new ok, 300 resumed, 0 failed)
14:18:41 [INFO] Progress: 400/281250 done (0 new ok, 400 resumed, 0 failed)
14:18:41 [INFO] Progress: 500/281250 done (0 new ok, 500 resumed, 0 failed)
14:18:41 [INFO] Progress: 600/281250 done (0 new ok, 600 resumed, 0 failed)
14:18:41 [INFO] Progress: 700/281250 done (0 new ok, 700 resumed, 0 failed)
14:18:41 [INFO] Progress: 800/281250 done (0 new ok, 800 resumed, 0 failed)
14:18:41 [INFO] Progress: 900/281250 done (0 new ok, 900 resumed, 0 failed)
14:18:41 [INFO] Progress: 1000/281250 done (0 new ok, 1000 resumed, 0 failed)
14:18:41 [INFO] Progress: 1100/281250 done (0 new ok, 1100 resumed, 0 failed)
14:18:41 [INFO] Progress: 1200/281250 done (0 new ok, 1200 resumed, 0 failed)
14:18:41 [INFO] Progress: 1300/281250 done (0 new ok, 1300 resumed, 0 failed)
14:18:41 [INFO] Progress: 1400/281250 done (0 new ok, 1400 resumed, 0 failed)
14:18:41 [INFO] Progress: 1500/281250 done (0 new ok, 1500 resumed, 0 failed)
14:18:41 [INFO] Progress: 1600/281250 done (0 new ok, 1600 resumed, 0 failed)
14:18:41 [INFO] Progress: 1700/281250 done (0 new ok, 1700 resumed, 0 failed)
14:18:41 [INFO] Progress: 1800/281250 done (0 new ok, 1800 resumed, 0 failed)
14:18:41 [INFO] Progress: 1900/281250 done (0 new ok, 1900 resumed, 0 failed)
14:18:41 [INFO] Progress: 2000/281250 done (0 new ok, 2000 resumed, 0 failed)
14:18:42 [INFO] Progress: 2100/281250 done (0 new ok, 2100 resumed, 0 failed)
14:18:42 [INFO] Progress: 2200/281250 done (0 new ok, 2200 resumed, 0 failed)
14:18:42 [INFO] Progress: 2300/281250 done (0 new ok, 2300 resumed, 0 failed)
14:18:42 [INFO] Progress: 2400/281250 done (0 new ok, 2400 resumed, 0 failed)
14:18:42 [INFO] Progress: 2500/281250 done (0 new ok, 2500 resumed, 0 failed)
14:18:42 [INFO] Progress: 2600/281250 done (0 new ok, 2600 resumed, 0 failed)
14:18:42 [INFO] Progress: 2700/281250 done (0 new ok, 2700 resumed, 0 failed)
14:18:42 [INFO] Progress: 2800/281250 done (0 new ok, 2800 resumed, 0 failed)
14:18:42 [INFO] Progress: 2900/281250 done (0 new ok, 2900 resumed, 0 failed)
14:18:43 [INFO] Progress: 3000/281250 done (0 new ok, 3000 resumed, 0 failed)
14:18:43 [INFO] Progress: 3100/281250 done (0 new ok, 3100 resumed, 0 failed)
14:18:43 [INFO] Progress: 3200/281250 done (0 new ok, 3200 resumed, 0 failed)
14:18:43 [INFO] Progress: 3300/281250 done (0 new ok, 3300 resumed, 0 failed)
14:18:43 [INFO] Progress: 3400/281250 done (0 new ok, 3400 resumed, 0 failed)
14:18:43 [INFO] Progress: 3500/281250 done (0 new ok, 3500 resumed, 0 failed)
14:18:43 [INFO] Progress: 3600/281250 done (0 new ok, 3600 resumed, 0 failed)
14:18:43 [INFO] Progress: 3700/281250 done (0 new ok, 3700 resumed, 0 failed)
14:18:43 [INFO] Progress: 3800/281250 done (0 new ok, 3800 resumed, 0 failed)
14:18:43 [INFO] Progress: 3900/281250 done (0 new ok, 3900 resumed, 0 failed)
14:18:43 [INFO] Progress: 4000/281250 done (0 new ok, 4000 resumed, 0 failed)
14:18:43 [INFO] Progress: 4100/281250 done (0 new ok, 4100 resumed, 0 failed)
14:18:44 [INFO] Progress: 4200/281250 done (0 new ok, 4200 resumed, 0 failed)
14:18:44 [INFO] Progress: 4300/281250 done (0 new ok, 4300 resumed, 0 failed)
14:18:44 [INFO] Progress: 4400/281250 done (0 new ok, 4400 resumed, 0 failed)
14:18:44 [INFO] Progress: 4500/281250 done (0 new ok, 4500 resumed, 0 failed)
14:18:44 [INFO] Progress: 4600/281250 done (0 new ok, 4600 resumed, 0 failed)
14:18:44 [INFO] Progress: 4700/281250 done (0 new ok, 4700 resumed, 0 failed)
14:18:44 [INFO] Progress: 4800/281250 done (0 new ok, 4800 resumed, 0 failed)
14:18:44 [INFO] Progress: 4900/281250 done (0 new ok, 4900 resumed, 0 failed)
14:18:44 [INFO] Progress: 5000/281250 done (0 new ok, 5000 resumed, 0 failed)
14:18:44 [INFO] Progress: 5100/281250 done (0 new ok, 5100 resumed, 0 failed)
14:18:44 [INFO] Progress: 5200/281250 done (0 new ok, 5200 resumed, 0 failed)
14:18:45 [INFO] Progress: 5300/281250 done (0 new ok, 5300 resumed, 0 failed)
14:18:45 [INFO] Progress: 5400/281250 done (0 new ok, 5400 resumed, 0 failed)
14:18:45 [INFO] Progress: 5500/281250 done (0 new ok, 5500 resumed, 0 failed)
14:18:45 [INFO] Progress: 5600/281250 done (0 new ok, 5600 resumed, 0 failed)
14:18:45 [INFO] Progress: 5700/281250 done (0 new ok, 5700 resumed, 0 failed)
14:18:45 [INFO] Progress: 5800/281250 done (0 new ok, 5800 resumed, 0 failed)
14:18:45 [INFO] Progress: 5900/281250 done (0 new ok, 5900 resumed, 0 failed)
14:18:45 [INFO] Progress: 6000/281250 done (0 new ok, 6000 resumed, 0 failed)
14:18:46 [INFO] Progress: 6100/281250 done (0 new ok, 6100 resumed, 0 failed)
14:18:46 [INFO] Progress: 6200/281250 done (0 new ok, 6200 resumed, 0 failed)
14:18:46 [INFO] Progress: 6300/281250 done (0 new ok, 6300 resumed, 0 failed)
14:18:46 [INFO] Progress: 6400/281250 done (0 new ok, 6400 resumed, 0 failed)
14:18:46 [INFO] Progress: 6500/281250 done (0 new ok, 6500 resumed, 0 failed)
14:18:46 [INFO] Progress: 6600/281250 done (0 new ok, 6600 resumed, 0 failed)
14:18:46 [INFO] Progress: 6700/281250 done (0 new ok, 6700 resumed, 0 failed)
14:18:47 [INFO] Progress: 6800/281250 done (0 new ok, 6800 resumed, 0 failed)
14:18:47 [INFO] Progress: 6900/281250 done (0 new ok, 6900 resumed, 0 failed)
14:18:47 [INFO] Progress: 7000/281250 done (0 new ok, 7000 resumed, 0 failed)
14:18:47 [INFO] Progress: 7100/281250 done (0 new ok, 7100 resumed, 0 failed)
14:18:47 [INFO] Progress: 7200/281250 done (0 new ok, 7200 resumed, 0 failed)
14:18:47 [INFO] Progress: 7300/281250 done (0 new ok, 7300 resumed, 0 failed)
14:18:47 [INFO] Progress: 7400/281250 done (0 new ok, 7400 resumed, 0 failed)
